number,screwsize,diameter,min_diameter,hex_max,hex_width,Hex_min,corner_max,corner_min,height_nom,height_max,height_min,fillet_max,fillet_min
5234523548,# 1/4,0.25,0.245,7/16,0.4375,0.428,0.505,0.488,5/32,0.163,0.15,0.023,0.009
5234523549,# 5/16,0.3125,0.3065,1/2,0.5,0.489,0.5777,0.557,13/64,0.211,0.195,0.023,0.009
5234523550,# 3/8,0.375,0.369,9/16,0.5625,0.551,0.65,0.628,15/64,0.243,0.226,0.023,0.009
5234523551,# 7/16,0.4375,0.4305,5/8,0.625,0.612,0.722,0.698,9/32,0.291,0.272,0.023,0.009
5234523552,# 1/2,0.5,0.493,3/4,0.75,0.736,0.866,0.84,5/16,0.323,0.302,0.023,0.009
5234523553,# 9/16,0.5625,0.5545,13/16,0.8125,0.798,0.938,0.91,23/64,0.371,0.348,0.041,0.021
5234523554,# 5/8,0.625,0.617,15/16,0.9375,0.922,1.083,1.051,25/64,0.403,0.378,0.041,0.021
5234523555,# 3/4,0.75,0.741,1-1/8,1.125,1.1,1.299,1.254,15/32,0.483,0.455,0.041,0.021
5234523556,# 7/8,0.875,0.866,1-5/16,1.3125,1.285,1.516,1.465,35/64,0.563,0.531,0.062,0.047
5234523557,# 1,1,0.99,1-1/2,1.5,1.469,1.732,1.675,39/64,0.627,0.591,0.062,0.047
5234523558,1-1/8,1.125,1.114,1-11/16,1.6875,1.631,1.949,1.859,11/16,0.718,0.658,0.125,0.11
5234523559,1-1/4,1.25,1.239,1-7/8,1.875,1.812,2.165,2.066,25/32,0.813,0.749,0.125,0.11
5234523560,1-3/8,1.375,1.363,2-1/16,2.0625,1.994,2.382,2.273,27/32,0.878,0.81,0.125,0.11
5234523561,1-1/2,1.5,1.488,2-1/4,2.25,2.175,2.598,2.48,15/16,0.974,0.902,0.125,0.11
5234523562,1-5/8,1.625,1.613,2-7/16,2.4375,2.356,2.815,2.686,1,0.974,0.902,0.125,0.11
5234523563,1-3/4,1.75,1.738,2-5/8,2.625,2.538,3.031,2.893,1-3/32,0.974,0.902,0.125,0.11
5234523564,1-7/8,1.875,1.863,2-13/16,2.8125,2.719,3.248,3.1,1-5/32,0.974,0.902,0.125,0.11
5234523565,2,2,1.988,3,3,2.9,3.464,3.306,1-7/32,0.974,0.902,0.125,0.11
5234523566,2-1/4,2.25,2.238,3-3/8,3.375,3.262,3.897,3.719,1-3/8,0.974,0.902,0.188,0.173
5234523567,2-1/2,2.5,2.488,3-3/4,3.75,3.625,4.33,4.133,1-17/32,0.974,0.902,0.188,0.173
5234523568,2-3/4,2.75,2.738,4-1/8,4.125,3.988,4.763,4.546,1-11/16,0.974,0.902,0.188,0.173
5234523569,3,3,2.988,4-1/2,4.5,4.35,5.196,4.959,1-7/8,0.974,0.902,0.188,0.173