Number,Screw_Size,FB_diameter,Hex_Width,FB_hex_width,hex_min,corners_max,corners_min,Thickness,FB_thickness,thickness_min,Thickness_Jam,FB_thickness_jam,Thickness_Jam_Min,Min_Dia,Max_Dia
5234523548,8,0.164,11/32,0.344,0.332,0.397,0.378,--,0.203,0.187,--,--,--,0.165,0.19
5234523549,10,0.19,3/8,0.375,0.362,0.433,0.413,--,0.203,0.187,--,--,--,0.191,0.25
5234523550,1/4,0.25,7/16,0.438,0.428,0.505,0.488,7/32,0.226,0.212,5/32,0.164,0.15,0.251,0.3125
5234523551,5/16,0.3125,1/2,0.5,0.489,0.577,0.557,17/64,0.273,0.258,3/16,0.195,0.18,0.3135,0.375
5234523552,3/8,0.375,9/16,0.562,0.551,0.65,0.628,21/64,0.337,0.32,7/32,0.227,0.21,0.376,0.4375
5234523553,7/16,0.4375,11/16,0.688,0.675,0.794,0.768,3/8,0.385,0.365,1/4,0.26,0.24,0.4385,0.5
5234523554,1/2,0.5,3/4,0.75,0.736,0.866,0.84,7/16,0.448,0.427,5/16,0.323,0.302,0.501,0.5625
5234523555,9/16,0.5625,7/8,0.875,0.861,1.01,0.982,31/64,0.496,0.473,5/16,0.324,0.301,0.5635,0.625
5234523556,5/8,0.625,15/16,0.938,0.922,1.083,1.051,35/64,0.559,0.535,3/8,0.387,0.363,0.626,0.75
5234523557,3/4,0.75,1-1/8,1.125,1.088,1.299,1.24,41/64,0.665,0.617,27/64,0.446,0.398,0.751,0.875
5234523558,7/8,0.875,1-5/16,1.312,1.269,1.516,1.447,3/4,0.776,0.724,31/64,0.51,0.458,0.876,1
5234523559,1,1,1-1/2,1.5,1.45,1.732,1.653,55/64,0.887,0.831,35/64,0.575,0.519,1.001,1.125
5234523560,1-1/8,1.125,1-11/16,1.688,1.631,1.949,1.859,31/32,0.999,0.939,39/64,0.639,0.579,1.126,1.25
5234523561,1-1/4,1.25,1-7/8,1.875,1.812,2.165,2.066,1-1/6,1.094,1.03,23/32,0.751,0.687,1.251,1.375
5234523562,1-3/8,1.375,2-1/16,2.062,1.994,2.382,2.273,1-11/64,1.206,1.138,25/32,0.815,0.747,1.376,1.5
5234523563,1-1/2,1.5,2-1/4,2.25,2.175,2.598,2.48,1-9/32,1.317,1.245,27/32,0.88,0.808,1.501,1.625
5234523564,1-5/8,1.625,2-7/16,2.438,2.356,2.815,2.686,1-25/64,1.429,1.353,29/32,0.945,0.869,1.626,1.75
5234523565,1-3/4,1.75,2-5/8,2.625,2.538,3.031,2.893,1-1/2,1.54,1.46,31/32,1.009,0.929,1.751,2
5234523566,2,2,3,3,2.9,3.464,3.306,1-23/32,1.763,1.675,1-3/32,1.138,1.05,2.001,2.25
5234523567,2-1/4,2.25,3-3/8,3.375,3.263,3.897,3.719,1-15/16,1.986,1.89,1-7/32,1.267,1.171,2.251,2.5
5234523568,2-1/2,2.5,3-3/4,3.75,3.625,4.33,4.133,2-5/32,2.209,2.105,1-11/32,1.396,1.292,2.501,2.75
5234523569,2-3/4,2.75,4-1/8,4.125,3.988,4.763,4.546,2-3/8,2.431,2.319,1-15/32,1.525,1.413,2.751,3
5234523570,3,3,4-1/2,4.5,4.35,5.196,4.959,2-19/32,2.654,2.534,1-19/32,1.654,1.534,3.001,3.25