Number,Screw_Size,Diameter,Series,FB_washer_inner_dia,FB_washer_outer_dia,FB_washer_thk,Min_Dia,Max_Dia
5234523342,No. 0,0.06,N,0.068,0.125,0.025,0.061,0.099
5234523343,No. 1,0.073,N,0.084,0.156,0.025,0.074,0.112
5234523344,No. 2,0.086,N,0.094,0.188,0.025,0.087,0.125
5234523345,No. 3,0.099,N,0.109,0.219,0.025,0.1,0.138
5234523346,No. 4,0.112,N,0.125,0.25,0.032,0.113,0.164
5234523347,No. 5,0.125,N,0.141,0.281,0.032,0.126,0.19
5234523348,No. 6,0.138,N,0.156,0.312,0.032,0.139,0.216
5234523349,No. 8,0.164,N,0.188,0.375,0.04,0.165,0.25
5234523350,No. 10,0.19,N,0.203,0.406,0.04,0.191,0.312
5234523351,No. 12,0.216,N,0.234,0.438,0.04,0.217,0.375
5234523352,0.25,0.25,N,0.281,0.5,0.063,0.251,0.438
5234523353,0.3125,0.312,N,0.344,0.625,0.063,0.313,0.5
5234523354,0.375,0.375,N,0.406,0.734,0.063,0.376,0.562
5234523355,0.4375,0.438,N,0.469,0.875,0.063,0.439,0.625
5234523356,0.5,0.5,N,0.531,1,0.063,0.501,0.75
5234523357,0.5625,0.562,N,0.594,1.125,0.063,0.563,0.875
5234523358,0.625,0.625,N,0.656,1.25,0.1,0.626,1
5234523359,0.75,0.75,N,0.812,1.375,0.1,0.751,1.125
5234523360,0.875,0.875,N,0.938,1.469,0.1,0.876,1.25
5234523361,1,1,N,1.062,1.75,0.1,1.001,1.375
5234523362,1.125,1.125,N,1.188,2,0.1,1.126,1.5
5234523363,1.25,1.25,N,1.312,2.25,0.16,1.251,1.625
5234523364,1.375,1.375,N,1.438,2.5,0.16,1.376,1.75
5234523365,1.5,1.5,N,1.562,2.75,0.16,1.501,1.875
5234523366,1.625,1.625,N,1.75,3,0.16,1.626,2
5234523367,1.75,1.75,N,1.875,3.25,0.16,1.751,2.25
5234523368,1.875,1.875,N,2,3.5,0.25,1.876,2.5
5234523369,2,2,N,2.125,3.75,0.25,2.001,2.75
5234523370,2.25,2.25,N,2.375,4,0.25,2.251,3
5234523371,2.5,2.5,N,2.625,4.5,0.25,2.501,
5234523372,2.75,2.75,N,2.875,5,0.25,2.751,
5234523373,3,3,N,3.125,5.5,0.375,3.001,3.25